Position,Previous Position,Position Diff,URL,Traffic,Traffic %,Traffic Cost,Volume,CPC,KD %,Competition,Results,Intent,Crawled Time,SERPFeaturesLost,SERPFeaturesNew,changeOfTrafficSigned,keyword,positionIsSERPFeature,serpFeatureIndex,Traffic Cost %,Trends,URL Hash
0,20,0,https://www.shoppingjin.pk/prices/home-appliances/washing-machine/,0,0,0,50,0,16,0.01,192,0; 1,2026-05-23 00:00:00,,,0,washing machine rates in pakistan,false,0,0,45; 63; 27; 45; 63; 63; 36; 45; 63; 63; 81; 45,9849883779298793621
0,66,0,https://www.shoppingjin.pk/prices/home-appliances/washing-machine/semi-automatic/,0,0,0,50,0,16,0.01,192,0; 1,2026-05-23 00:00:00,,,0,washing machine rates in pakistan,false,0,0,45; 63; 27; 45; 63; 63; 36; 45; 63; 63; 81; 45,5421213370001607119
